model,threshold,precision,recall,f1,f2,balanced_accuracy,predicted_positive_count,true_positive,false_positive,true_negative,false_negative
balanced_logistic,0.540000,0.155300,0.797468,0.259972,0.436490,0.822732,1217,189,1028,5735,48
balanced_logistic,0.550000,0.158298,0.784810,0.263456,0.438059,0.819287,1175,186,989,5774,51
balanced_logistic,0.560000,0.161687,0.776371,0.267636,0.441035,0.817655,1138,184,954,5809,53
balanced_logistic,0.570000,0.165611,0.772152,0.272727,0.445689,0.817911,1105,183,922,5841,54
balanced_logistic,0.580000,0.168686,0.763713,0.276336,0.447798,0.815909,1073,181,892,5871,56
balanced_logistic,0.590000,0.173040,0.763713,0.282151,0.453862,0.817906,1046,181,865,5898,56
balanced_logistic,0.600000,0.177690,0.759494,0.288000,0.458950,0.818162,1013,180,833,5930,57
balanced_logistic,0.610000,0.181448,0.751055,0.292282,0.461379,0.816160,981,178,803,5960,59
balanced_logistic,0.620000,0.182682,0.729958,0.292230,0.456464,0.807756,947,173,774,5989,64
balanced_logistic,0.630000,0.183206,0.708861,0.291161,0.450402,0.799056,917,168,749,6014,69
balanced_logistic,0.640000,0.187783,0.700422,0.296164,0.453057,0.797128,884,166,718,6045,71
balanced_logistic,0.650000,0.194607,0.700422,0.304587,0.460855,0.799420,853,166,687,6076,71
balanced_logistic,0.660000,0.202192,0.700422,0.313800,0.469192,0.801786,821,166,655,6108,71
balanced_logistic,0.670000,0.208281,0.700422,0.321083,0.475645,0.803560,797,166,631,6132,71
balanced_logistic,0.680000,0.209424,0.675105,0.319680,0.467290,0.792898,764,160,604,6159,77
balanced_logistic,0.690000,0.211957,0.658228,0.320658,0.463183,0.786234,736,156,580,6183,81
balanced_logistic,0.700000,0.220798,0.654008,0.330138,0.469697,0.786564,702,155,547,6216,82
balanced_logistic,0.710000,0.231579,0.649789,0.341463,0.477371,0.787115,665,154,511,6252,83
balanced_logistic,0.720000,0.239875,0.649789,0.350398,0.484277,0.788816,642,154,488,6275,83
balanced_logistic,0.730000,0.245130,0.637131,0.354045,0.482737,0.784187,616,151,465,6298,86
balanced_logistic,0.740000,0.253378,0.632911,0.361882,0.487013,0.783778,592,150,442,6321,87
balanced_logistic,0.750000,0.265125,0.628692,0.372966,0.493377,0.783812,562,149,413,6350,88
balanced_logistic,0.760000,0.274908,0.628692,0.382542,0.500000,0.785291,542,149,393,6370,88
balanced_logistic,0.770000,0.282732,0.628692,0.390052,0.505085,0.786400,527,149,378,6385,88
balanced_logistic,0.780000,0.289941,0.620253,0.395161,0.505155,0.783511,507,147,360,6403,90
balanced_logistic,0.790000,0.303609,0.603376,0.403955,0.503876,0.777438,471,143,328,6435,94
balanced_logistic,0.800000,0.311947,0.594937,0.409289,0.503571,0.774476,452,141,311,6452,96
balanced_logistic,0.810000,0.321678,0.582278,0.414414,0.501089,0.769625,429,138,291,6472,99
balanced_logistic,0.820000,0.339286,0.561181,0.422893,0.496269,0.761442,392,133,259,6504,104
balanced_logistic,0.830000,0.354396,0.544304,0.429285,0.491616,0.754778,364,129,235,6528,108
balanced_logistic,0.840000,0.367647,0.527426,0.433276,0.485248,0.747818,340,125,215,6548,112
balanced_logistic,0.850000,0.377709,0.514768,0.435714,0.479937,0.742524,323,122,201,6562,115
balanced_logistic,0.860000,0.396667,0.502110,0.443203,0.476763,0.737673,300,119,181,6582,118
balanced_logistic,0.870000,0.413919,0.476793,0.443137,0.462735,0.726568,273,113,160,6603,124
balanced_logistic,0.880000,0.448560,0.459916,0.454167,0.457599,0.720051,243,109,134,6629,128
balanced_logistic,0.890000,0.467290,0.421941,0.443459,0.430293,0.702542,214,100,114,6649,137
balanced_logistic,0.900000,0.489583,0.396624,0.438228,0.412281,0.691067,192,94,98,6665,143
balanced_logistic,0.910000,0.505747,0.371308,0.428224,0.392157,0.679296,174,88,86,6677,149
balanced_logistic,0.920000,0.536913,0.337553,0.414508,0.364631,0.663675,149,80,69,6694,157
balanced_logistic,0.930000,0.553030,0.308017,0.395664,0.337963,0.649646,132,73,59,6704,164
balanced_logistic,0.940000,0.612613,0.286920,0.390805,0.321058,0.640281,111,68,43,6720,169
balanced_logistic,0.950000,0.670330,0.257384,0.371951,0.293551,0.626474,91,61,30,6733,176
balanced_logistic,0.960000,0.730769,0.240506,0.361905,0.277778,0.618701,78,57,21,6742,180
balanced_logistic,0.970000,0.750000,0.164557,0.269896,0.195000,0.581317,52,39,13,6750,198
balanced_logistic,0.980000,0.833333,0.126582,0.219780,0.152439,0.562848,36,30,6,6757,207
balanced_logistic,0.990000,0.882353,0.063291,0.118110,0.077720,0.531498,17,15,2,6761,222
standard_logistic,0.010000,0.078466,0.940928,0.144852,0.294195,0.776837,2842,223,2619,4144,14
standard_logistic,0.020000,0.105236,0.848101,0.187238,0.351645,0.797701,1910,201,1709,5054,36
standard_logistic,0.030000,0.128065,0.793249,0.220528,0.389073,0.801992,1468,188,1280,5483,49
standard_logistic,0.040000,0.152485,0.763713,0.254213,0.423888,0.807481,1187,181,1006,5757,56
standard_logistic,0.050000,0.172211,0.742616,0.279587,0.446701,0.808762,1022,176,846,5917,61
standard_logistic,0.060000,0.193103,0.708861,0.303523,0.462046,0.802530,870,168,702,6061,69
standard_logistic,0.070000,0.207792,0.675105,0.317776,0.465658,0.792454,770,160,610,6153,77
standard_logistic,0.080000,0.225619,0.654008,0.335498,0.474006,0.787673,687,155,532,6231,82
standard_logistic,0.090000,0.251223,0.649789,0.362353,0.493274,0.790960,613,154,459,6304,83
standard_logistic,0.100000,0.277574,0.637131,0.386684,0.506032,0.789510,544,151,393,6370,86
standard_logistic,0.110000,0.301426,0.624473,0.406593,0.514246,0.786878,491,148,343,6420,89
standard_logistic,0.120000,0.318083,0.616034,0.419540,0.518834,0.784876,459,146,313,6450,91
standard_logistic,0.130000,0.336471,0.603376,0.432024,0.520757,0.780839,425,143,282,6481,94
standard_logistic,0.140000,0.365729,0.603376,0.455414,0.533981,0.783353,391,143,248,6515,94
standard_logistic,0.150000,0.385475,0.582278,0.463866,0.528331,0.774874,358,138,220,6543,99
standard_logistic,0.160000,0.406627,0.569620,0.474517,0.527344,0.770246,332,135,197,6566,102
standard_logistic,0.170000,0.427184,0.556962,0.483516,0.525060,0.765395,309,132,177,6586,105
standard_logistic,0.180000,0.442509,0.535865,0.484733,0.514170,0.756103,287,127,160,6603,110
standard_logistic,0.190000,0.457875,0.527426,0.490196,0.511876,0.752771,273,125,148,6615,112
standard_logistic,0.200000,0.467681,0.518987,0.492000,0.507845,0.749143,263,123,140,6623,114
standard_logistic,0.210000,0.473469,0.489451,0.481328,0.486169,0.735189,245,116,129,6634,121
standard_logistic,0.220000,0.489362,0.485232,0.487288,0.486052,0.733744,235,115,120,6643,122
standard_logistic,0.230000,0.495536,0.468354,0.481562,0.473549,0.725823,224,111,113,6650,126
standard_logistic,0.240000,0.511962,0.451477,0.479821,0.462403,0.718197,209,107,102,6661,130
standard_logistic,0.250000,0.507692,0.417722,0.458333,0.433071,0.701763,195,99,96,6667,138
standard_logistic,0.260000,0.518519,0.413502,0.460094,0.430959,0.700023,189,98,91,6672,139
standard_logistic,0.270000,0.535912,0.409283,0.464115,0.429584,0.698431,181,97,84,6679,140
standard_logistic,0.280000,0.554913,0.405063,0.468293,0.428189,0.696839,173,96,77,6686,141
standard_logistic,0.290000,0.570552,0.392405,0.465000,0.418542,0.691027,163,93,70,6693,144
standard_logistic,0.300000,0.577922,0.375527,0.455243,0.403811,0.682958,154,89,65,6698,148
standard_logistic,0.310000,0.585034,0.362869,0.447917,0.392694,0.676925,147,86,61,6702,151
standard_logistic,0.320000,0.598592,0.358650,0.448549,0.389908,0.675111,142,85,57,6706,152
standard_logistic,0.330000,0.617647,0.354430,0.450402,0.387454,0.673371,136,84,52,6711,153
standard_logistic,0.340000,0.614173,0.329114,0.428571,0.362791,0.660934,127,78,49,6714,159
standard_logistic,0.350000,0.616000,0.324895,0.425414,0.358807,0.658899,125,77,48,6715,160
standard_logistic,0.360000,0.614754,0.316456,0.417827,0.350467,0.654753,122,75,47,6716,162
standard_logistic,0.370000,0.623932,0.308017,0.412429,0.342723,0.650755,117,73,44,6719,164
standard_logistic,0.380000,0.648649,0.303797,0.413793,0.339943,0.649015,111,72,39,6724,165
standard_logistic,0.390000,0.654206,0.295359,0.406977,0.331754,0.644944,107,70,37,6726,167
standard_logistic,0.400000,0.673077,0.295359,0.410557,0.332700,0.645166,104,70,34,6729,167
standard_logistic,0.410000,0.680000,0.286920,0.403561,0.324427,0.641094,100,68,32,6731,169
standard_logistic,0.420000,0.680851,0.270042,0.386707,0.307102,0.632803,94,64,30,6733,173
standard_logistic,0.430000,0.693182,0.257384,0.375385,0.294402,0.626696,88,61,27,6736,176
standard_logistic,0.440000,0.686047,0.248945,0.365325,0.285300,0.622476,86,59,27,6736,178
standard_logistic,0.450000,0.686747,0.240506,0.356250,0.276431,0.618331,83,57,26,6737,180
standard_logistic,0.460000,0.682927,0.236287,0.351097,0.271845,0.616221,82,56,26,6737,181
standard_logistic,0.470000,0.714286,0.232068,0.350318,0.268293,0.614407,77,55,22,6741,182
standard_logistic,0.480000,0.726027,0.223629,0.341935,0.259549,0.610336,73,53,20,6743,184
standard_logistic,0.490000,0.724638,0.210970,0.326797,0.245821,0.604081,69,50,19,6744,187
standard_logistic,0.500000,0.742424,0.206751,0.323432,0.241617,0.602119,66,49,17,6746,188
standard_logistic,0.510000,0.746032,0.198312,0.313333,0.232443,0.597973,63,47,16,6747,190
standard_logistic,0.520000,0.793103,0.194093,0.311864,0.228628,0.596159,58,46,12,6751,191
standard_logistic,0.530000,0.821429,0.194093,0.313993,0.229084,0.596307,56,46,10,6753,191
standard_logistic,0.540000,0.826923,0.181435,0.297578,0.215000,0.590052,52,43,9,6754,194
standard_logistic,0.550000,0.843137,0.181435,0.298611,0.215215,0.590126,51,43,8,6755,194
standard_logistic,0.560000,0.843137,0.181435,0.298611,0.215215,0.590126,51,43,8,6755,194
standard_logistic,0.570000,0.840000,0.177215,0.292683,0.210421,0.588016,50,42,8,6755,195
standard_logistic,0.580000,0.840000,0.177215,0.292683,0.210421,0.588016,50,42,8,6755,195
standard_logistic,0.590000,0.836735,0.172996,0.286713,0.205617,0.585906,49,41,8,6755,196
standard_logistic,0.600000,0.836735,0.172996,0.286713,0.205617,0.585906,49,41,8,6755,196
standard_logistic,0.610000,0.833333,0.168776,0.280702,0.200803,0.583797,48,40,8,6755,197
standard_logistic,0.620000,0.851064,0.168776,0.281690,0.201005,0.583871,47,40,7,6756,197
standard_logistic,0.630000,0.851064,0.168776,0.281690,0.201005,0.583871,47,40,7,6756,197
standard_logistic,0.640000,0.866667,0.164557,0.276596,0.196375,0.581835,45,39,6,6757,198
standard_logistic,0.650000,0.866667,0.164557,0.276596,0.196375,0.581835,45,39,6,6757,198
standard_logistic,0.660000,0.880952,0.156118,0.265233,0.186869,0.577689,42,37,5,6758,200
standard_logistic,0.670000,0.902439,0.156118,0.266187,0.187058,0.577763,41,37,4,6759,200
standard_logistic,0.680000,0.918919,0.143460,0.248175,0.172589,0.571508,37,34,3,6760,203
standard_logistic,0.690000,0.916667,0.139241,0.241758,0.167683,0.569398,36,33,3,6760,204
standard_logistic,0.700000,0.941176,0.135021,0.236162,0.162933,0.567363,34,32,2,6761,205
standard_logistic,0.710000,0.941176,0.135021,0.236162,0.162933,0.567363,34,32,2,6761,205
standard_logistic,0.720000,0.935484,0.122363,0.216418,0.148110,0.561034,31,29,2,6761,208
standard_logistic,0.730000,0.933333,0.118143,0.209738,0.143149,0.558924,30,28,2,6761,209
standard_logistic,0.740000,0.928571,0.109705,0.196226,0.133197,0.554704,28,26,2,6761,211
standard_logistic,0.750000,0.925926,0.105485,0.189394,0.128205,0.552595,27,25,2,6761,212
standard_logistic,0.760000,0.923077,0.101266,0.182510,0.123203,0.550485,26,24,2,6761,213
standard_logistic,0.770000,0.920000,0.097046,0.175573,0.118191,0.548375,25,23,2,6761,214
standard_logistic,0.780000,0.920000,0.097046,0.175573,0.118191,0.548375,25,23,2,6761,214
standard_logistic,0.790000,0.904762,0.080169,0.147287,0.098039,0.539937,21,19,2,6761,218
standard_logistic,0.800000,0.894737,0.071730,0.132812,0.087901,0.535717,19,17,2,6761,220
standard_logistic,0.810000,0.941176,0.067511,0.125984,0.082902,0.533681,17,16,1,6762,221
standard_logistic,0.820000,0.933333,0.059072,0.111111,0.072690,0.529462,15,14,1,6762,223
standard_logistic,0.830000,0.923077,0.050633,0.096000,0.062435,0.525243,13,12,1,6762,225
standard_logistic,0.840000,0.923077,0.050633,0.096000,0.062435,0.525243,13,12,1,6762,225
standard_logistic,0.850000,0.916667,0.046414,0.088353,0.057292,0.523133,12,11,1,6762,226
standard_logistic,0.860000,0.909091,0.042194,0.080645,0.052138,0.521023,11,10,1,6762,227
standard_logistic,0.870000,0.909091,0.042194,0.080645,0.052138,0.521023,11,10,1,6762,227
standard_logistic,0.880000,0.888889,0.033755,0.065041,0.041797,0.516804,9,8,1,6762,229
standard_logistic,0.890000,0.875000,0.029536,0.057143,0.036611,0.514694,8,7,1,6762,230
standard_logistic,0.900000,0.857143,0.025316,0.049180,0.031414,0.512584,7,6,1,6762,231
standard_logistic,0.910000,0.833333,0.021097,0.041152,0.026205,0.510475,6,5,1,6762,232
standard_logistic,0.920000,0.833333,0.021097,0.041152,0.026205,0.510475,6,5,1,6762,232
standard_logistic,0.930000,1.000000,0.012658,0.025000,0.015773,0.506329,3,3,0,6763,234
standard_logistic,0.940000,1.000000,0.008439,0.016736,0.010526,0.504219,2,2,0,6763,235
standard_logistic,0.950000,1.000000,0.004219,0.008403,0.005269,0.502110,1,1,0,6763,236
standard_logistic,0.960000,0.000000,0.000000,0.000000,0.000000,0.500000,0,0,0,6763,237
standard_logistic,0.970000,0.000000,0.000000,0.000000,0.000000,0.500000,0,0,0,6763,237
standard_logistic,0.980000,0.000000,0.000000,0.000000,0.000000,0.500000,0,0,0,6763,237
standard_logistic,0.990000,0.000000,0.000000,0.000000,0.000000,0.500000,0,0,0,6763,237
